id,country_id,start_date,name,caretaker,wikipedia,data_source,description,comment,previous_cabinet_id,previous_parliament_election_id,previous_ep_election_id,old_countryID,old_cabID
457,64,1988-05-09,Martens VIII,0,http://en.wikipedia.org/wiki/Wilfried_Martens,mueller,Cabinet ended on 29 September 1991 after People's Union (VU) left. ,PM Martens asked to resign on 4 October. The King did not accept the request on 7 October but called for early elections.,92,191,10,56,19880
458,43,1957-11-05,Gaillard,0,http://fr.wikipedia.org/wiki/Gouvernement_F%C3%A9lix_Gaillard,pa-84,,One minister appointed by African Democratic Rally (RDA).,209,312,,250,19571
459,54,1976-12-15,Schmidt II,0,http://de.wikipedia.org/wiki/Kabinett_Schmidt_II,,,,252,163,,276,19760
460,26,1989-07-23,Andreotti VI,0,http://it.wikipedia.org/wiki/Governo_Andreotti_VI,mueller,PM Andreotti resigned on 29 March 1991 following a cabinet crisis initiated by former PM Craxi and his Socialist Party (PSI).,,809,17,280,380,19890
462,10,1992-12-30,Berov,0,http://en.wikipedia.org/wiki/Lyuben_Berov,reuters,"Cabinet was approved (yes: 127, no: 24) on 30 December 1992 after a two-month long political crisis. PM Berov was nominated by the Movement for Rights and Freedoms (DPS), but is without any party affiliation.
Cabinet resigned on 2 September 1994 due to the political crisis starting with the vote of confidence on 26 May.",,348,32,,100,19920
463,59,1979-06-05,Kreisky IV,0,http://de.wikipedia.org/wiki/Bundesregierung_Kreisky_IV,mueller,"Cabinet was appointed on 5 June 1979.
Cabinet ended with an early election on 24 April 1983 and resigned two days later.",,350,452,,40,19790
464,26,1980-10-18,Forlani,0,http://it.wikipedia.org/wiki/Governo_Forlani,mueller,,,86,604,353,380,19801
465,63,1978-11-22,Mota Pinto,1,http://en.wikipedia.org/wiki/Carlos_Mota_Pinto,mueller,,,542,200,,620,19782
466,67,1977-05-15,Sorsa II,0,http://fi.wikipedia.org/wiki/Sorsan_II_hallitus,"mueller, valt",,,848,98,,246,19770
467,21,1960-02-21,Kampmann I,0,http://da.wikipedia.org/wiki/Regeringen_Viggo_Kampmann_I,mueller,,,51,263,,208,19600
468,72,2008-03-12,Gonzi II,0,http://en.wikipedia.org/wiki/Lawrence_Gonzi,bbc,The cabinet lost its one-seat majority on 10 December 2012 when MP Debono (PN) voted against the budget bill. Cabinet ended with election on 9 March 2013.,,298,203,346,470,20080
469,55,1999-02-04,Kristopans II,0,http://en.wikipedia.org/wiki/Vilis_Kristopans,mue-rom,,,682,615,,428,19990
472,54,2009-10-28,Merkel II,0,http://en.wikipedia.org/wiki/Merkel_Cabinet_II,"dw, wid","PM Merkel  won an investiture vote (yes: 323, no: 258, abstain: 4) on 28 October 2009.
Cabinet lost its upper house majority on 14 July 2010 when a new cabinet took office in the state of North Rhine-Westphalia.
Cabinet ended with election on 22 September 2013.",,85,93,231,276,20090
473,11,1990-11-02,Bolger I,0,http://en.wikipedia.org/wiki/Fourth_National_Government_of_New_Zealand,reuters,Cabinet was appointed on 2 November 1990.,,571,350,,554,19901
474,11,1946-12-20,Frazer III,0,http://en.wikipedia.org/wiki/Peter_Fraser_%28New_Zealand_politician%29,,,,1036,586,,554,19460
475,35,2006-10-05,Reinfeldt I,0,http://en.wikipedia.org/wiki/Cabinet_of_Fredrik_Reinfeldt,afp,"PM Reinfeldt won an investiture vote on 5 October 2006 (yes: 175, no: 169) and presented his cabinet the day after.
Cabinet ended with an early election on 19 September 2010.",,641,629,104,752,20060
476,67,1975-11-30,Miettunen II,0,http://en.wikipedia.org/wiki/Martti_Miettunen,valt,,,143,98,,246,19751
477,55,2009-02-26,Dombrovskis I,0,http://en.wikipedia.org/wiki/Valdis_Dombrovskis,"bbc, keesings, lo, reuters",Cabinet ended on 17 March 2010 when People's Party withdraws from the coalition.,,42,52,145,428,20090
478,35,1986-03-12,Carlsson I,0,http://sv.wikipedia.org/wiki/Regeringen_Carlsson_I,"ap, times","Cabinet won an investiture vote (yes: 178, no: 0, abstain: 159) on 12 March 1986.",,296,48,,752,19860
479,33,1956-01-11,Menzies VII,0,http://en.wikipedia.org/wiki/Seventh_Menzies_Ministry,hug-68,,,178,742,,36,19560
480,75,1999-03-25,Laar II,0,http://en.wikipedia.org/wiki/Mart_Laar,reuters,"Cabinet was appointed on 25 March 1999.
PM Laar announced to resign on 19 December 2001 following coalition infighting.",,303,239,,233,19990
481,43,1997-06-02,Jospin,0,http://fr.wikipedia.org/wiki/Gouvernement_Lionel_Jospin,reuters,PM Jospin was appointed on 2 June and the cabinet on 4 June 1997.,,422,479,680,250,19970
482,21,2001-11-27,Rasmussen F I,0,http://en.wikipedia.org/wiki/Cabinet_of_Anders_Fogh_Rasmussen_I,ejpr,,,630,632,668,208,20010
483,59,1964-04-02,Klaus I,0,http://de.wikipedia.org/wiki/Bundesregierung_Klaus_I,"apa, bka","Cabinet was appointed on 2 April 1964.
Cabinet resigned on 23 October 1965 and coalition parties agreed to call an early election after disagreement over the 1966 budget.",,622,495,,40,19640
485,9,1981-10-14,Willoch I,0,http://en.wikipedia.org/wiki/K%C3%A5re_Willoch,mueller,,,81,100,,578,19811
487,9,1951-11-19,Torp I,0,http://en.wikipedia.org/wiki/Oscar_Torp,mueller,,,726,478,,578,19510
488,39,1994-07-15,Horn,0,http://en.wikipedia.org/wiki/Gyula_Horn,mue-rom,"Cabinet won an investiture vote (yes: 265, no: 93, abstain: 12) on 15 July 1994.",,13,620,,348,19940
489,64,1946-03-31,Van Acker III,0,http://en.wikipedia.org/wiki/Achille_Van_Acker,"keesings, mueller","Van Acker resigned on 9 July 1946 after losing a confidence vote (yes: 78, no: 79, abstain: 3) in the Senate.",,168,19,,56,19461
490,33,1946-11-01,Chifley II,0,http://en.wikipedia.org/wiki/Second_Chifley_Ministry,hug-68,,,574,739,,36,19460
491,7,1964-07-15,Werner II,0,http://lb.wikipedia.org/wiki/Regierung_Werner-Cravatte,,,,832,579,,442,19640
492,67,1978-03-02,Sorsa III,0,http://fi.wikipedia.org/wiki/Sorsan_II_hallitus,"mueller, valt",,,466,98,,246,19780
493,5,2010-06-04,Kan,0,,"bbc, yomiuri","PM Kan won an investiture vote (yes: 313, total: 477 [lower house]; yes: 123, total: 237 [upper house]) on 4 June 2010 and the cabinet was appointed four days later.
Cabinet lost its upper house majority in an election on 11 July 2010.
Cabinet resigned on 30 August following criticism after a tsunami in March and the crisis at a nuclear power plant.",,374,327,,392,20100
494,5,2008-09-24,Aso,0,,w,,,134,554,,392,20080
495,15,2006-04-11,Brazauskas V,0,http://en.wikipedia.org/wiki/Algirdas_Brazauskas,"afp, reuters","Cabinet continued on 11 April 2006 after a change in party composition.
Cabinet ended on 31 May 2006 after Labour Party (DP) withdrew from the coalition. PM Brazauskas announced his resignation the same day and submitted it a day later.
Acting PM Balcytis lost an investiture vote (yes: 52, no: 48, abstain: 32) on 20 June.",Acting PM not coded as a new cabinet according to three-month-rule.,287,214,539,440,20060
496,64,1947-03-20,Spaak III,0,http://en.wikipedia.org/wiki/Paul-Henri_Spaak,mueller,,,540,19,,56,19470
497,27,2008-04-12,Zapatero II,0,,afp,"PM Zapatero failed to win an absolute majority in an investiture vote on 9 April 2008 (yes: 168, no: 158, abstain: 23) and was elected by simple majority in a second vote (yes: 169, no: 158, abstain: 23) two days later. The prime minister was appointed on 12 April and the cabinet was presented two days after.
Zapatero called early elections on 29 July 2011 and the cabinet ends with election on 20 November 2011.",,806,500,368,724,20080
498,29,1984-09-17,Mulroney I,0,,,,,670,159,,124,19841
500,7,1954-06-28,Bech V,0,http://lb.wikipedia.org/wiki/Regierung_Bech-Bodson,nyt,Cabinet was formed on 28 June 1954 and it terminates when Bech resigns on 26 March 1958.,,532,153,,442,19540
501,26,1947-05-31,De Gasperi III,0,http://it.wikipedia.org/wiki/Governo_De_Gasperi_IV,mueller,,,525,503,,380,19471
502,5,1972-12-22,Tanaka II,0,,,,,656,333,,392,19721
503,35,1998-10-07,Persson II,0,http://en.wikipedia.org/wiki/Cabinet_of_G%C3%B6ran_Persson,,,,156,33,55,752,19980
504,68,2002-07-15,Spidla,0,http://en.wikipedia.org/wiki/Vladim%C3%ADr_%C5%A0pidla,afp,"PM Spidla and the cabinet were appointed on 15 July 2002. The cabinet won an investiture vote on 7 August (yes: 101; no: 98).
PM Spidla resigned on 26 June 2004 following a defeat of his party in the European Parliament election and after narrowly surviving a confidence vote in his party.",,443,487,,203,20020
505,60,2000-11-30,Drnovsek VI,0,http://en.wikipedia.org/wiki/Janez_Drnovsek,"berg-19, rferl","Cabinet won an investiture vote (yes: 66 no: 20, abstain: 4) on 30 November 2000.",,768,525,,705,20001
506,35,1964-09-20,Erlander IX,0,http://sv.wikipedia.org/wiki/Regeringen_Erlander_III,mueller,,,424,41,,752,19640
507,33,1972-12-19,Whitlam I,0,http://en.wikipedia.org/wiki/Second_Whitlam_Ministry,hug-77,,,671,759,,36,19721
508,40,2007-12-12,Bundesrat 2007,0,,reuters,"Federal Council was elected on 12 December 2007 and the Swiss Peoples Party (SVP) went into opposition.
Cabinet ended with a change in party composition on 10 December 2008.","SVP member Eveline Widmer-Schlumpf was elected instead of Christoph Blocher, later expelled from the party and a founding member the BDP. SVP and BDP are not coded as cabinet members.",855,310,,756,20070
509,23,2004-12-29,Popescu-Tariceanu I,0,http://en.wikipedia.org/wiki/T%C4%83riceanu_I_Cabinet,"keesings, mue-rom","Cabinet won an investiture vote (yes: 265, no: 200) on 28 December 2004.
",,1029,165,,642,20041
510,9,1963-09-25,Gerhardsen VII,0,http://en.wikipedia.org/wiki/Einar_Gerhardsen,nyt,,,53,622,,578,19631
511,26,1963-06-21,Leone I,0,http://it.wikipedia.org/wiki/Governo_Leone_I,mueller,,,347,380,,380,19630
512,15,1992-07-21,Abisala,0,https://en.wikipedia.org/wiki/Abi%C5%A1ala_Cabinet,,,,546,462,,440,19920
513,40,1963-12-12,Bundesrat 1963,0,,,,,623,108,,756,19630
514,11,1993-11-28,Bolger II,0,http://en.wikipedia.org/wiki/Fourth_National_Government_of_New_Zealand,,Cabinet lost majority support on 11 September 1994 when MP Ross Meurant crossed the floor.,,473,634,,554,19930
515,44,1990-11-28,Major I,0,http://en.wikipedia.org/wiki/Major_Ministry,bpf,,,297,490,682,826,19900
516,44,2005-05-06,Blair III,0,http://en.wikipedia.org/wiki/Blair_Ministry,,,,19,233,196,826,20050
517,74,1997-10-31,Buzek I,0,http://en.wikipedia.org/wiki/Jerzy_Buzek,mue-rom,"Cabinet won an investiture vote on 11 November 1997 (yes: 260, no: 173, abstain: 2) on 11 November 1997.
",,437,477,,616,19970
518,8,1965-04-14,Cals,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Cals,,,,35,529,,528,19650
519,55,2010-03-17,Dombrovskis II,0,http://en.wikipedia.org/wiki/Valdis_Dombrovskis,"lo, reuters",Minority cabinet was supported by Latvia's First Party (LPP).,,477,52,302,428,20100
520,9,1976-01-12,Nordli I,0,http://en.wikipedia.org/wiki/Odvar_Nordli,reg-no,Cabinet was appointed on 15 January 1976 and ended with regular elections on 11 September 1977.,,56,523,,578,19760
521,64,1979-04-03,Martens I,0,http://en.wikipedia.org/wiki/Martens_I_Government,nyt,"PM Martens was appointed on 3 April 1980.
Cabinet ended on 16 January 1980 when Democratic Front (FDF) ministers resigned.",,233,663,,56,19790
522,26,1999-12-21,D'Alema II,0,http://it.wikipedia.org/wiki/Governo_D%27Alema_II,reuters,"PM D'Alema and his cabinet were appointed on 22 December 1999. The cabinet won a confidence vote in the Senate (yes: 177, no: 100 [upper house]) on the same day and in parliament (yes: 310, no: 287 [lower house]) the day after.
D'Alema offered to resign on 17 April 2000 after losses of centre-left parties in regional elections and resigned two days later.",,214,551,363,380,19990
523,37,1957-03-20,Valera IX,0,http://en.wikipedia.org/wiki/Government_of_the_16th_D%C3%A1il,,,,626,469,,372,19570
524,59,1990-12-17,Vranitzky III,0,http://de.wikipedia.org/wiki/Bundesregierung_Vranitzky_III,reuters,"Cabinet was appointed on 17 December 1990.
Cabinet ended with election on 10 October 1994 and resigned the next day.",,873,325,,40,19900
525,26,1947-02-02,De Gasperi II,0,http://it.wikipedia.org/wiki/Governo_De_Gasperi_III,mueller,,,416,503,,380,19470
526,43,1962-04-15,Pompidou I,0,http://fr.wikipedia.org/wiki/Gouvernement_Georges_Pompidou_%281%29,pa-84,"PM Pompidou lost a confidence vote (yes: 200, no: 280) on 5 October 1962 over plans to introduce direct presidential elections and cabinet resigned on 6 October.",,692,375,,250,19620
527,60,1990-05-16,Peterle,0,http://en.wikipedia.org/wiki/Lojze_Peterle,"berg-19, reuters","Cabinet won an investiture vote (yes: 153, no: 41, abstain: 46).
PM Peterle was sworn in on 16 May 1990.
PM Peterle lost a vote of confidence and resigned on 22 April 1992.",,,129,,705,19900
528,35,1994-10-06,Carlsson IV,0,http://sv.wikipedia.org/wiki/Regeringen_Carlsson_III,"ap, mueller, reuters","PM Carlsson won an investiture vote (yes: 180, no: 26, abstain: 130) on 6 October 1994.
PM Carlsson unexpectedly announced on 18 August 1995 that he would resign the following March.",,779,412,,752,19940
529,54,2002-10-22,Schroeder II,0,http://en.wikipedia.org/wiki/Schr%C3%B6der_Cabinet_II,bbc,"PM Schröder announced on 22 May 2005 that he intended to call for early election. He initiated and lost a vote of confidence (yes: 151, no: 296, abstain: 148) on 1 July 2005 and most coalition MPs abstained from voting.",,107,385,417,276,20020
530,75,1995-11-03,Vahi II,0,https://en.wikipedia.org/wiki/Tiit_V%C3%A4hi%27s_second_cabinet,berg-19,,,604,600,,233,19951
531,41,1980-05-09,Rallis,0,,,,,865,596,,300,19800
532,7,1953-12-29,Bech IV,0,http://lb.wikipedia.org/wiki/Regierung_Bech-Bodson,,,,360,149,,442,19530
533,59,1961-04-11,Gorbach I,0,http://de.wikipedia.org/wiki/Bundesregierung_Gorbach_I,"mueller, nyt","Cabinet was appointed on 11 April 1961.
On 12 July 1962, coalition parties agreed to call an early election to seek a fresh mandate before the beginning of negotiations with the European Economic Community.
Cabinet ended with an early election on 18 November 1962 and resigned two days later.",,757,347,,40,19610
534,29,1948-11-15,St-Laurent I,0,http://en.wikipedia.org/wiki/Louis_St._Laurent#Prime_Minister_of_Canada,,,,608,189,,124,19480
535,55,2006-04-08,Kalvitis II,0,http://en.wikipedia.org/wiki/Aigars_Kalv%C4%ABtis,mue-rom,,,228,260,145,428,20060
536,56,1979-10-15,Groendal,1,http://en.wikipedia.org/wiki/Benedikt_Sigur%C3%B0sson_Gr%C3%B6ndal,indridason,"Cabinet formed only to call an early election (Indridason 2005, 461).",,673,275,,352,19790
537,23,2010-05-19,Boc III,0,http://en.wikipedia.org/wiki/Boc_Cabinets,"ager, reuters","Cabinet continued on 19 May 2010 after a change in party composition when National Union (UNPR) signed a cooperation agreement with the cabinet.
PM Boc resigned on 6 February 2012 after mass protests against the cabinet's austerity measures.",,993,319,229,642,20090
538,56,2009-02-01,Sigurdardottir I,1,https://en.wikipedia.org/wiki/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir,w,,,558,265,,352,20090
539,27,1979-04-05,Suarez II,0,https://en.wikipedia.org/wiki/Third_government_of_Adolfo_Su%C3%A1rez,,,"Minority government with various supporting parties (Hopkin 2005, 389),",205,493,,724,19790
540,64,1946-08-03,Huysmans,0,http://en.wikipedia.org/wiki/Camille_Huysmans,mueller,,,489,19,,56,19462
541,10,1995-01-26,Videnov,0,http://en.wikipedia.org/wiki/Zhan_Videnov,"bbc, reuters","Cabinet won an investiture vote (yes: 131, no: 15) on 26 January 1995.
PM Videnov presented his resignation on 21 December 1996 and it was approved (yes: 211, no: 3, abstain: 9) a week later.",Three cabinet parties that formed an electoral alliance.,109,355,,100,19950
542,63,1978-08-29,Nobre da Costa,1,http://en.wikipedia.org/wiki/Alfredo_Nobre_da_Costa,keesings,,Nobre da Costa lost a vote of confidence on 14 September 1978 two weeks after taking office.,336,200,,620,19781
543,35,1945-07-31,Hansson VI,0,https://en.wikipedia.org/wiki/Hansson_IV_Cabinet,"mueller, nyt",PM Hansson died on 6 October 1946,,1181,485,,752,19450
544,7,1958-03-29,Frieden,0,http://lb.wikipedia.org/wiki/Regierung_Frieden,nyt,"PM Frieden was appointed on 31 March 1958.
Cabinet resigned on 10 December 1958 after the LSAP left the coalition.",,500,153,,442,19580
545,9,1953-10-12,Torp II,0,http://en.wikipedia.org/wiki/Oscar_Torp,mueller,,,487,167,,578,19530
546,15,1991-01-13,Vagnorius I,0,https://en.wikipedia.org/wiki/Vagnorius_Cabinet_I,,,,267,462,,440,19911
547,1,2002-10-16,Dzurinda II,0,https://en.wikipedia.org/wiki/Dzurinda%27s_Second_Cabinet,"ejpr, rferl","Cabinet lost majority support on 8 December 2003 following the formation of a breakaway group by coalition party MPs.
Cabinet ended on 6 February 2006 after Christian Democrats (KDH) withdrew and PM Dzurinda announced early elections a day later. ",,699,218,,703,20020
548,26,1969-08-05,Rumor II,0,http://it.wikipedia.org/wiki/Governo_Rumor_II,mueller,,,554,261,,380,19690
549,63,1980-01-03,Carneiro I,0,,,,,384,248,,620,19800
550,8,1986-07-14,Lubbers II,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Lubbers-2,,,,270,62,341,528,19860
551,9,2009-10-20,Stoltenberg III,0,,,,,693,285,,578,20090
552,67,1958-08-29,Fagerholm III,0,http://en.wikipedia.org/wiki/Karl-August_Fagerholm,"nyt, valt",Cabinet resigned on 4 December 1958 after Agrarians left the coalition.,,791,616,,246,19581
553,56,1963-11-14,Benediktsson A I,0,https://en.wikipedia.org/wiki/Cabinet_of_Bjarni_Benediktsson,indridason,,"Bjarni Benediktsson (born 1908), see also PM Bjarni Benediktsson (born 1970)",851,379,,352,19631
554,26,1968-12-12,Rumor I,0,http://it.wikipedia.org/wiki/Governo_Rumor_I,mueller,,,183,261,,380,19681
555,56,2004-09-15,Asgrimsson,0,http://en.wikipedia.org/wiki/http://de.wikipedia.org/wiki/Halld%C3%B3r_%C3%81sgr%C3%ADmsson,ejpr,,,130,178,,352,20040
556,40,1947-12-11,Bundesrat 1947,0,,,,,972,684,,756,19470
557,43,1953-01-07,Mayer,0,http://fr.wikipedia.org/wiki/Gouvernement_Ren%C3%A9_Mayer,pa-84,,"Party ""Payson"" could not be identified. ",658,293,,250,19530
558,56,2007-05-24,Haarde II,0,http://en.wikipedia.org/wiki/Geir_Haarde,"afp, ejpr",Cabinet ended with resignation of PM Haarde on 23 November 2009 after growing pressure for the government to resign over its handling of the economic crisis. ,,246,265,,352,20070
559,60,1993-01-12,Drnovsek II,0,http://en.wikipedia.org/wiki/Janez_Drnovsek,"afp, bbc, vlada","PM Drnovšek won a confidence vote (yes: 48) on 12 January 1993 and presented his cabinet on 25 January.
Cabinet ended on 8 April 1994 when the Social Democrats (SDS) withdrew.",,9,382,,705,19930
560,59,1952-10-28,Figl IV,1,http://de.wikipedia.org/wiki/Bundesregierung_Figl_III,"bka, mueller","Caretaker cabinet was appointed on 28 October 1952 after the previous cabinet fell. 
Cabinet ended with an early election on 22 February 1953 and resigned three days later.",,775,67,,40,19520
561,59,1966-04-19,Klaus III,0,http://de.wikipedia.org/wiki/Bundesregierung_Klaus_II,mueller,"Cabinet was appointed on 19 April 1966.
Cabinet ended with election on 1 March 1970 and resigned two days later.",,1035,608,,40,19660
562,60,1996-01-26,Drnovsek IV,0,http://en.wikipedia.org/wiki/Janez_Drnovsek,,Continuation cabinet started on 26 January 1996 with a change in party composition of the previous cabinet and ends with regular elections on 10 November 1996.,,145,382,,705,19960
563,8,1977-12-19,Van Agt I,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Van_Agt-1,,,,324,635,,528,19770
564,75,1992-10-21,Laar I,0,http://en.wikipedia.org/wiki/Mart_Laar,"bbc, reuters","Cabinet was appointed on 21 October 1992.
PM Laar lost a confidence vote (yes: 27, no: 60, abstain: 1) on 26 September 1994 due to a lack of credibility and doubts about his government style. Both coalition partners supported the removal of the prime minister.",,,670,,233,19921
565,29,1968-04-20,Trudeau P I,0,,,,,415,282,,124,19680
566,33,1951-05-11,Menzies V,0,http://en.wikipedia.org/wiki/Fifth_Menzies_Ministry,hug-68,,,450,763,,36,19510
567,26,2005-05-28,Berlusconi III,0,http://it.wikipedia.org/wiki/Governo_Berlusconi_III,"ejpr, w",,,256,498,329,380,20050
568,5,1983-12-27,Nakasone II,0,,,,,242,138,,392,19830
569,11,1972-02-07,Marshall,0,,,,,344,120,,554,19720
570,64,1991-11-24,Martens IX,1,http://en.wikipedia.org/wiki/Wilfried_Martens,reuters,Continuation caretaker cabinet remained in office after the previous coalition broke apart until a new coalition formed following elections on 24 November 1991.,Start date set to 24 November 1991 (election date) following three month coding rule.,457,418,553,56,19910
571,11,1990-09-04,Moore,0,,,,,307,322,,554,19900
572,9,1993-09-13,Brundtland IV,0,http://en.wikipedia.org/wiki/Gro_Harlem_Brundtland,"keesings, mueller",,,588,404,,578,19930
573,37,1994-12-15,Bruton,0,https://en.wikipedia.org/wiki/1992_Irish_general_election,,"PM Bruton won an investiture vote (yes: 85, no: 74) on 15 December 1994.
Cabinet with majority support formed on 15 December 1994.","Cabinet parties ""secured an overall majority as a result of the several by-elections fought since the 1992 election."" (EJPR PDY: 1995: 381)",748,359,34,372,19940
574,33,1945-07-13,Chifley I,0,http://en.wikipedia.org/wiki/First_Chifley_Ministry,hug-68,,,632,737,,36,19451
575,10,2001-07-24,Sakskoburggotski,0,http://en.wikipedia.org/wiki/Simeon_II_of_Bulgaria,bta,"PM Sakskoburggotski (yes: 141, no: 50, abstain: 46) and his cabinet (yes: 147, no: 50 , abstain: 41) were approved on 24 July 2001.
Cabinet ended with election on 25 June 2005.",,792,681,,100,20010
576,33,1983-03-11,Hawke I,0,http://en.wikipedia.org/wiki/First_Hawke_Ministry,hug-86,,,774,751,,36,19830
577,35,1970-09-20,Palme II,0,http://sv.wikipedia.org/wiki/Regeringen_Palme_I,nyt,Minority government supported by Communists (VK). It ends with regular elections on 16 September 1973.,,219,258,,752,19700
578,26,1979-08-04,Cossiga I,0,http://it.wikipedia.org/wiki/Governo_Cossiga_I,mueller,,,638,604,353,380,19791
579,15,2006-07-04,Kirkilas I,0,https://en.wikipedia.org/wiki/Gediminas_Kirkilas,reuters,"PM Kirkilas won an investiture vote (yes: 86, no: 13, abstain: 5) on 4 July 2006 and cabinet (yes: 58, no: 49, abstain: 2) on 18 July.
Minority cabinet supported by Homeland Union – Lithuanian Christian Democrats (TS-LKD).
Cabinet ended with election on 12 October 2008.",,495,214,539,440,20061
580,68,2004-08-04,Gross,0,http://en.wikipedia.org/wiki/Stanislav_Gross,"afp, reuters","PM Gross and the cabinet were appointed on 4 August. The cabinet won an investiture vote on 24 August (yes: 101; no: 99).
Christian Democrats left cabinet on 30 March 2005. Two days later, Gross survived a confidence vote (yes: 76 , no: 78, abstain: 44) with tactic support from the Communists in form of abstaining to vote (KSCM) but resigned on 25 April.","EJPR (2005, p. 985) gives 21 seats for KDU-CSL and 10 seats for US-DEU.",504,487,567,203,20040
581,41,2007-10-01,Karamanlis Kos II,0,http://en.wikipedia.org/wiki/Kostas_Karamanlis,"afp, ejpr","Cabinet won an investiture vote (yes: 152, no: 148) on 1 October 2007.
Cabinet ended on 3 September 2009 when PM Karamanlis asked President Papoulias to dissolve parliament and to call a snap election.",,876,466,672,300,20070
582,72,1998-09-06,Fenech Adami III,0,,,,,299,173,,470,19980
583,59,2007-01-11,Gusenbauer,0,http://en.wikipedia.org/wiki/Gusenbauer_cabinet,reuters,"Cabinet was appointed on 8 January 2007.
Cabinet ended on 7 July 2008 after the Conservatives (OVP) withdrew from the coalition and formally resigned on 2 December.","No caretaker cabinet added, because election (28 September 2008) took place within three month after termination (7 July) and formal resignation (2 December) followed within three month after election.",888,197,45,40,20070
584,15,1990-03-17,Prunskiene,0,https://en.wikipedia.org/wiki/Prunskien%C4%97_Cabinet,,,,,462,,440,19900
585,63,1976-07-23,Soares I,0,http://en.wikipedia.org/wiki/M%C3%A1rio_Soares,mueller,,,1067,200,,620,19760
586,64,1968-06-17,Eyskens G IV,0,http://en.wikipedia.org/wiki/Gaston_Eyskens,mueller,,,353,184,,56,19680
587,35,1978-10-13,Ullsten,0,http://sv.wikipedia.org/wiki/Regeringen_Ullsten,"keesings, mueller, nyt, riksdag","Parliament passed an investiture vote (yes: 39, no: 66, abstain: 215) on 13 October 1978 with no absolute majority against the cabinet.",Negative parliamentarism (Bergmann 1993: 297). ,137,262,,752,19780
588,9,1990-11-03,Brundtland III,0,http://en.wikipedia.org/wiki/Gro_Harlem_Brundtland,mueller,,,94,571,,578,19900
589,72,1962-03-05,Borg Olivier III,0,,,,,1474,658,,470,19620
590,44,1976-04-05,Callaghan,0,http://en.wikipedia.org/wiki/Labour_Government_1974-1979,"bpf, nyt","Cabinet lost majority support by April 1976. Minority cabinet was supported by Liberals (L) from March 1977 until August 1978.
Callaghan lost a vote of confidence (yes: 310, no: 311) on 28 March 1979 and called early elections following industrial unrest ('Winter of Discontent').",,7,40,,826,19760
591,43,1956-01-31,Mollet,0,http://fr.wikipedia.org/wiki/Gouvernement_Guy_Mollet,pa-84,,One minister appointed by African Democratic Rally (RDA).,397,312,,250,19560
592,1,1993-03-19,Meciar IV,0,http://en.wikipedia.org/wiki/Vladim%C3%ADr_Me%C4%8Diar,mue-rom,,,420,294,,703,19931
593,64,1944-09-26,Pierlot IV,1,http://en.wikipedia.org/wiki/Hubert_Pierlot,,Provisional cabinet was formed on 26 September 1944.,,1265,882,,56,19440
594,43,1958-05-12,Pflimlin,0,http://fr.wikipedia.org/wiki/Gouvernement_Pierre_Pflimlin,pa-84,,"One minister appointed by African Democratic Rally (RDA).
Party ""Gauche Democr."" could not be identified. ",458,312,,250,19580
595,55,1990-05-07,Godmanis I,0,http://en.wikipedia.org/wiki/Ivars_Godmanis,w,,,,647,,428,19900
596,21,1968-02-02,Baunsgaard,0,http://da.wikipedia.org/wiki/Regeringen_Hilmar_Baunsgaard,folketing,,,825,531,,208,19680
597,26,1951-07-26,De Gasperi VI,0,http://it.wikipedia.org/wiki/Governo_De_Gasperi_VII,mueller,,,123,467,,380,19510
598,67,1961-07-14,Miettunen I,0,http://fi.wikipedia.org/wiki/Miettusen_I_hallitus,valt,Cabinet under PM Miettunen was appointed 14 July 1961 and ended with elections on 5 February 1962.  ,,230,616,,246,19610
599,23,2008-12-22,Boc I,0,http://en.wikipedia.org/wiki/Boc_I_Cabinet,bbc,"Cabinet won an investiture vote (yes: 324, no: 115) on 22 December 2008.
PSD ministers resigned on 1 October 2009 and the cabinet lost a confidence vote (yes: 254, no: 176) on 13 October. It remained in office until the new cabinet formed following presidential elections.",,118,319,676,642,20080
600,68,2006-08-16,Topolanek I,0,http://en.wikipedia.org/wiki/Mirek_Topol%C3%A1nek%27s_First_Cabinet,"afp, reuters","PM Topolanek was appointed on 16 August 2006 and the cabinet on 4 September. 
Cabinet lost an investiture vote (yes: 96, no: 99) on 3 October and resigned on 11 October.",,15,50,567,203,20060
601,7,2009-07-23,Juncker IV,0,http://en.wikipedia.org/wiki/Jean-Claude_Juncker,"reuters, tagbla","Cabinet was appointed on 23 June 2009.
PM Juncker resigned on 11 July 2013 and early elections were called.",,12,172,662,442,20090
602,37,1966-11-10,Lynch I,0,http://en.wikipedia.org/wiki/Government_of_the_18th_D%C3%A1il,,,,217,323,,372,19660
603,26,1953-07-16,De Gasperi VII,0,http://it.wikipedia.org/wiki/Governo_De_Gasperi_VIII,mueller,,,597,642,,380,19530
604,75,1995-04-17,Vahi I,0,https://en.wikipedia.org/wiki/Tiit_V%C3%A4hi%27s_first_cabinet,berg-19,,,4,600,,233,19950
