id,country_id,family_id,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,data_source,description,comment,cmp,euprofiler,ees,morgan,castles_mair,huber_inglehart,ray,benoit_laver,chess,old_countryID,old_partyID
557,63,14,BE,Bloc of the Left,Bloco de Esquerda,Bloco de Esquerda,,http://en.wikipedia.org/wiki/Left_Bloc,,,,35211,232,1620211,,,,,7632,1208,620,26
558,54,11,SPD,Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Germany,,,,41320,120,1276320,,803,1503,302,6087,302,276,43
559,1,26,MK,Hungarian Coalition,Maďarskej koalície – Magyar koalíció,Ma'arskej koalicie -- Magyar koalicio,,http://en.wikipedia.org/wiki/Party_of_the_Hungarian_Coalition,, ,,96952,259,1703954,,,,,4105,2804,703,30
562,23,14,PSM,Socialist Party of Labour,Partidul Socialist al Muncii,Partidul Socialist al Muncii,,http://en.wikipedia.org/wiki/Socialist_Party_of_Labour,,New party formed on 16 November 1990. ,,93713,,,,,3210,,,,642,48
564,40,40,RB,Republican Movement,Republikanische Bewegung,Republikanische Bewegung,,http://en.wikipedia.org/wiki/Republican_Movement_%28Switzerland%29,,,,,,,,,,,,,756,35
565,63,11,UEDS,Leftwing Union for the Socialist Democracy,União da Esquerda para a Democracia Socialista,Uniao de Esquerda para a Democracia Socialista,,http://en.wikipedia.org/wiki/Leftwing_Union_for_the_Socialist_Democracy,,,,35317,,,,,,,,,620,34
566,10,6,Lider,Lider,Lider,Lider,ЛИДЕР,https://en.wikipedia.org/wiki/Lider_%28political_party%29,,New party formed in 2007. ,,,,,,,,,,2011,100,68
569,40,19,FGr-ASF,Feminists and Green-Alternative Groups,Feministische und grün-alternative Gruppierungen – Alternative socialiste verte et groupements féministes,Feministische und gruen-alternative Gruppierungen -- Alternative socialiste verte et groupements feministes,,http://de.wikipedia.org/wiki/Politische_Parteien_in_der_Schweiz,,,,,,,,,,1712,,,756,40
572,51,14,AKEL,Progressive Party of Working People,Anorthotikó Kómma Ergazómenou Laoú,Anorthotikon Komma Ergazemenou Laou,Ανορθωτικό Κόμμα Εργαζόμενου Λαού,http://en.wikipedia.org/wiki/Progressive_Party_of_Working_People,jacobs,,,55321,49,1196321,,,,,5351,,196,16
574,68,6,OH|SD,Civic Movement | Free Democrats,Obcanské hnuti | Svobodní Demokraté,Obcanske hnuti | Svobodni Demokrate,,https://en.wikipedia.org/wiki/Party_for_the_Open_Society,,,,,,,,,1004,,,,203,48
581,15,6,DP,Labour Party,Darbo partija,Darbo partija,,http://en.wikipedia.org/wiki/Labour_Party_%28Lithuania%29,,,,,199,1440322,,,,,,2516,440,47
585,67,6,RKP-SFP,Swedish People's Party,Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland,Ruotsalainen Kansanpuolue -- Svenska Folkepartiet i Finland,,http://en.wikipedia.org/wiki/Swedish_People%27s_Party_%28Finland%29,,,,14901,96,1246901,18,606,1305,1406,5757,1406,246,28
586,1,40,LsNS,People's Party Our Slovakia,Ľudová strana Naše Slovensko,Ludova strana Nase Slovensko,,https://en.wikipedia.org/wiki/Kotlebists_%E2%80%93_People%27s_Party_Our_Slovakia,,New party formed in 2010.,,,,,,,,,,,703,63
587,56,6,B-H,Civic Movement -- The Movement,Borgarahreyfingin – Hreyfingin,Borgarahreyfingin -- Hreyfingin,,http://en.wikipedia.org/wiki/Citizens'_Movement_(Iceland),review,"New party formed in 2009.
3 of 4 MPs formed The Movement (H) on 18 September 2009.",,,,,,,,,,,352,40
588,34,26,Tami,Movement for the Heritage of Israel,Tnu'at Masoret Yisrael,Tnu'at Masoret Yisrael,תנועת מסורת ישראל‎,http://en.wikipedia.org/wiki/Tami,,,,72532,,,,,,,,,376,57
590,21,26,KF,Conservatives,Konservative,Konservative,,http://en.wikipedia.org/wiki/Konservative_Folkeparti,,,,13620,66,1208620,4,509,1107,203,5549,203,208,12
596,26,26,FI-PdL,Go Italy -- The People of Freedom,Forza Italia – Il Popolo della Libertà,Forza Italia -- Il Popolo della Liberta,,http://en.wikipedia.org/wiki/Forza_Italia,,,PdL was initially a federation launched on 18 November 2007 and later a political party founded on 27 March 2009 and dissolved on 16 November 2013. It formed a parliamentary group after the 2008 election.,32610,186,1380630,,,,816,6646,815,380,63
597,41,14,EDA,United Democratic Left,Eniaia Dimokratiki Aristera,Eniaia Dimokratiki Aristera,Ενιαια Διμοκρατικι Αριστερα,http://en.wikipedia.org/wiki/United_Democratic_Left,,,,,,,,,,,,,300,24
599,10,6,BBB,Bulgarian Business Bloc,Balgarski Biznes Blok,Balgarski Biznes Blok,Български бизнес блок,http://en.wikipedia.org/wiki/Bulgarian_Business_Bloc,buga,,,80901,,,,,708,,737,,100,32
600,39,40,Jobbik,Jobbik Movement for a Better Hungary,Jobbik Magyarországért Mozgalom,Jobbik Magyarorszagert Mozgalom,,http://en.wikipedia.org/wiki/Movement_for_a_Better_Hungary,,New party formed on 24 October 2003.,,,158,1348700,,,,,,2308,348,29
601,63,14,FSP,People's Socialist Front,Frente Socialista Popular,Frente Socialista Popular,,http://en.wikipedia.org/wiki/Frente_Socialista_Popular,,,,,,,,,,,,,620,51
602,40,3,EVP-PEP,Protestant Peoples Party,Evangelische Volkspartei der Schweiz – Parti Populaire Evangelique Suisse,Evangelische Volkspartei der Schweiz -- Parti Populaire Evangelique Suisse,,http://en.wikipedia.org/wiki/Evangelical_People%27s_Party_of_Switzerland,,,,43530,394,,,,,1706,8012,3607,756,36
609,75,3,EKD,Estonian Christian Democrats,Eesti Kristlikud Demokraadid,Eesti Kristlikud Demokraadid,,http://en.wikipedia.org/wiki/Party_of_Estonian_Christian_Democrats,,New party formed in 1998.,,,76,,,,,,1612,,233,24
610,54,12,none,no party affiliation,parteilos,parteilos,,,,,,,,,,,,,,,276,990
613,26,16,PNP,National Pensioners' Party,Partito Nazionale Pensionati,Partito Nazionale Pensionati,,,,,,,,,,,,,,,380,126
614,41,14,KKE,Communist Party of Greece,Kommounistikó Kómma Elládas,Kommunistiko Koma Ellados,Κομμουνιστικό Κόμμα Ελλάδας,http://en.wikipedia.org/wiki/Communist_Party_of_Greece,,,,34210,151,1300210,,,,404,6123,404,300,10
615,34,11,AE,One Nation,Am Ehad,Am Ehad,עם אחד,http://en.wikipedia.org/wiki/One_Nation_%28Israel%29,,,,72312,,,,,,,6407,,376,47
617,11,6,ACT,ACT New Zealand,ACT New Zealand,ACT New Zealand,,http://en.wikipedia.org/wiki/ACT_New_Zealand,,New party formed in 1994.,,64420,,,,,,,7220,,554,17
618,26,2,PaCoI,Agrarian Party,Partito dei Contadini d'Italia,Partito dei Contadini d'Italia,,http://it.wikipedia.org/wiki/Partito_dei_Contadini_d'Italia,,,,,,,,,,,,,380,39
619,74,2,PL,Peasants Agreement,Porozumenie Ludowe,Porozumenie Ludowe,,https://en.wikipedia.org/wiki/Peasants%27_Agreement,,Party formed in October 1991.,,92810,,,,,3002,,,,616,18
620,64,6,V,Alive,Vivant,Vivant,,http://en.wikipedia.org/wiki/Vivant,,,,,,,,,,,,,56,78
622,63,11,ASDI,Independent Social Democrats,Associação Social Democrata Independente,Associacao Social Democrata Independente,,http://en.wikipedia.org/wiki/Social_Democratic_Party_%28Portugal%29,,,,35316,,,,,,,,,620,27
625,8,26,GPV,Reformed Political League,Gereformeerd Politiek Verbond,Gereformeerd Politiek Verbond,,http://en.wikipedia.org/wiki/Reformed_Political_League,,,,,,,84,1108,2606,1007,,1007,528,18
627,26,3,CCD+CDU,Christian Democratic Centre / United Christian Democrats,Centro Cristiano Democratico  / Cristiani Democratici Uniti,Centro Cristiano Democratico  / Cristiani Democratici Uniti,,http://en.wikipedia.org/wiki/Whiteflower,,,informal name for 2001 general election was White Flower (Biancofiore),32522,,,,,,815,,814,380,53
628,40,40,NA|SD,National Action -- Swiss Democrats,Nationale Aktion – Action Nationale | Schweizer Demokraten – Démocrates Suisses,Nationale Aktion -- Action Nationale | Schweizer Demokraten -- Democrates Suisses,,http://en.wikipedia.org/wiki/Swiss_Democrats,,,,43710,,,,,,1709,8092,,756,16
629,74,11,SLD,Democratic Left Alliance,Sojusz Lewicy Demokratycznej,Sojusz Lewicy Demokratycznej,,http://en.wikipedia.org/wiki/Democratic_Left_Alliance,,,,92210,231,1616210,,,3001,,3102,2601,616,52
630,26,11,DINI-RI,Dini List -- Italian Renewal,Lista Dini – Rinnovamento Italiano,Lista Dini -- Rinnovamento Italiano,,http://en.wikipedia.org/wiki/Italian_Renewal,,New party formed on 27 February 1996 by outgoing technocratic PM Lamberto Dini.,,32321,,,,,,,,825,380,90
633,54,14,DFU,German Peace Union,Deutsche Friedensunion,Deutsche Friedensunion,,http://de.wikipedia.org/wiki/Deutsche_Friedensunion,,,,,,,,,,,,,276,41
636,10,40,RZS,"Order, Lawfulness and Justice","Red, zakonnost i spravedlivost","Red, zakonnost i spravedlivost","Ред, законност и справедливост","http://en.wikipedia.org/wiki/Order,_Lawfulness,_Justice",,New party formed in 2005. ,,,,1100601,,,,,,2012,100,46
637,27,3,CDS,Democratic and Social Centre,Centró Democrático y Social,Centro Democratico y Social,,http://en.wikipedia.org/wiki/Democratic_and_Social_Centre_(Spain),,,,33512,,,,,,503,,,724,54
638,67,16,Rt,Reform Group,Remonttiryhmä,Remonttiryhma,,http://fi.wikipedia.org/wiki/Remonttiryhm%C3%A4,,New party formed in 1998. ,one man party,,,,,,,,,1412,246,39
640,64,6,PL(B),Liberal Party [Brussels Region],Parti Libéral [Région bruxelloise],Parti Liberal [Region bruxelloise],,http://en.wikipedia.org/wiki/Liberalism_in_Belgium#.28Brussels.29_Liberal_Party,,,,21424,,,,,,,,,56,46
645,27,26,AP-P,People's Alliance-Party,Alianza-Partido Popular,Alianza-Partido Popular,,http://en.wikipedia.org/wiki/People%27s_Party_%28Spain%29,,,,33610,274,1724610,,1412,3608,502,7800,502,724,36
646,44,40,VUPP,Vanguard Unionist Progressive Party,Vanguard Unionist Progressive Party,Vanguard Unionist Progressive Party,,http://en.wikipedia.org/wiki/Vanguard_Progressive_Unionist_Party,,,,,,,,,,,,,826,36
647,9,6,V,Liberal Party of Norway,Venstre,Venstre,,https://en.wikipedia.org/wiki/Liberal_Party_(Norway),,New party formed on 28 January 1884.,,12420,,,41,1303,2906,1508,7614,3507,578,11
648,23,40,PUNR,Romanian National Unity Party,Partidul Unitatii Naţionale a Romanilor,Partidul Unitatii Nationale a Romanilor,,http://en.wikipedia.org/wiki/Romanian_National_Unity_Party,,,,93711,,,,,3208,,,,642,13
649,54,14,KPD,Communist Party of Germany,Kommunistische Partei Deutschlands,Kommunistische Partei Deutschlands,,http://en.wikipedia.org/wiki/German_Communist_Party,,Party was banned on 17 August 1956 and formed the German Communist Party (DKP) on 25 September 1968.,,41220,,,,801,,308,5961,,276,25
650,43,19,GE,Ecology Generation,Generation écologie,Generation ecologie,,http://en.wikipedia.org/wiki/Ecology_Generation,,New party formed in 1990. ,,31111,,,,703,1405,611,,,250,15
651,37,6,PD,Progressive Democrats,Progressive Democrats,Progressive Democrats,,http://en.wikipedia.org/wiki/Progressive_Democrats,"iris, times","Party was announced on 21 December 1985 by Desmond O'Malley, a former Fianna Fail minister of justice.
Dissolution of the PD was announced in the Iris Oifigiúil (Irish State News) on 20 November 2009.",,53420,,,,,1905,706,6367,706,372,18
652,15,12,one-seat,one seat,one seat,one seat,,,,Parties that won one seat in a single election and less than one percent vote share.,,,,,,,,,,,440,995
653,68,40,Ne,Independent,Nezávislí,Nezavisli,,http://cs.wikipedia.org/wiki/NEZ%C3%81VISL%C3%8D,,New party formed in 1994.,,,,,,,,,,2108,203,58
656,64,3,MCC,Citizens' Movement for Change,Mouvement des Citoyens pour le Changement,Mouvement des Citoyens pour le Changement,,http://en.wikipedia.org/wiki/Citizens%27_Movement_for_Change,,,Party won seats in national and EP elections.,,,,,,,,,113,56,54
657,35,26,M,Moderate Party,Moderaterna,Moderaterna,,http://en.wikipedia.org/wiki/Moderate_Party,,,,11620,278,1752620,55,1505,3707,1605,7900,1605,752,19
658,43,26,UMP|LR,Union for a Popular Movement | The Republicans,Union pour un mouvement populaire | Les Républicains,Union pour un mouvement populaire | Les Republicains,,https://en.wikipedia.org/wiki/The_Republicans_(France),,,,31626,110,1250626,,706,1411,609,5887,609,250,51
659,44,6,Lib,Liberals,Liberals,Liberals,,http://en.wikipedia.org/wiki/Liberal_Party_(UK),,,,51420,,,,1605,,1104,,1104,826,44
662,55,26,LPP/LC,Latvian First Party / Latvian Way Party,Latvijas Pirmā partija / Latvijas Ceļš,Latvijas Pirma partija / Latvijas Cels,,http://en.wikipedia.org/wiki/LPP/LC,,,,,191,1428424,,,,,,,428,62
664,74,2,PSL,Polish People's Party,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,,http://en.wikipedia.org/wiki/Polish_People%27s_Party,,New party formed on 5 May 1990.,,92811,229,1616811,,,3002,,3006,2606,616,44
665,68,14,KSC,Communist Party of Czechoslovakia,Komunistická strana Československa,Komunisticka strana Ceskoslovenska,,http://en.wikipedia.org/wiki/Communist_Party_of_Czechoslovakia,,Party was dissolved on 31 December 1992.,"{""dissolved"": ""1992-12-31""}",82220,,,,,,,,,203,10
669,59,16,Martin,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,Liste Dr. Hans-Peter Martin,,http://en.wikipedia.org/wiki/Hans-Peter_Martin%27s_List,,,,,,1040951,,,,,,1308,40,18
670,43,40,PFN,Party of New Forces,Parti des forces nouvelles,Parti des forces nouvelles,,http://fr.wikipedia.org/wiki/Parti_des_forces_nouvelles_%28France%29,,,,,,,,709,,,,,250,28
671,26,6,PLD,Liberal Democratic Pole,Polo Liberal-Democratico,Polo Liberal-Democratico,,http://en.wikipedia.org/wiki/Liberal_Democratic_Pole,,,,,,,,,,,,,380,110
674,8,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,528,990
675,15,3,LKDP,Lithuanian Christian Democrats,Lietuvos krikščionys demokratai,Lietuvos krikscionys demokratai,,http://en.wikipedia.org/wiki/Lithuanian_Christian_Democrats,,,,88521,,,,,2404,,2264,2508,440,49
676,15,6,PDP,Civic Democratic Party,Pilietinės demokratijos partija,Pilietines demokratijos partija,,http://de.wikipedia.org/wiki/Pilietinės_demokratijos_partija,,Party formed on 14 May 2006. ,,,,,,,,,,,440,10
677,29,16,SCR,Social Credit Rally,Ralliement créditiste,Ralliement creditiste,,"http://en.wikipedia.org/wiki/Social_Credit_Party_of_Canada_split,_1963",,Party formed on 1 September 1963.,,,,,,,,,,,124,11
678,34,26,L,The Consolidation,Likud,Likud,הַלִּכּוּד,http://en.wikipedia.org/wiki/Likud,,"Party formed in 1973 as a merger of Herut (Herut), the Liberal Party (MiHal), the Free Centre (MeHo), the National List (RM) and the Movement for Greater Israel.",,72622,,,156,,,,6488,,376,39
681,27,16,II-SP,Internationalist Initiative -- Solidarity between Peoples,Iniciativa Internacionalista – La Solidaridad entre los Pueblos,Iniciativa Internacionalista -- La Solidaridad entre los Pueblos,,http://en.wikipedia.org/wiki/Iniciativa_Internacionalista,,,,,,,,,,,,,724,73
686,43,14,PCF,French Communist Party,Parti communiste française,Parti communiste francais,,http://en.wikipedia.org/wiki/French_Communist_Party,,,"Since 2009 part of Front de gauche (Left Front) electoral alliance: Parti de gauche (Left Party): Gauche unitaire (Unitarian Left), Parti communiste française (French Communist Party) ",31220,102,1250220,,701,1403,601,5845,601,250,44
688,68,6,US,Freedom Union,Unie svobody ,Unie svobody,,http://en.wikipedia.org/wiki/Freedom_Union_-_Democratic_Union,buga,,,82421,62,,,,,,1586,2105,203,26
689,44,14,SF,Sinn Fein,Sinn Féin,Sinn Fein,,http://en.wikipedia.org/wiki/Sinn_F%C3%A9in,,,,51210,,,,,,,,,826,43
693,26,6,IdV,Italy of Values,Italia dei Valori,Italia dei Valori,,http://en.wikipedia.org/wiki/Italia_dei_Valori,,New party formed on 21 March 1998. ,,32902,176,1380902,,,,,6686,828,380,56
695,5,12,IC,Independent's Club,Mushozoku-no-kai,Mushozoku-no-kai,無所属の会,,,,,,,,,,,,,,392,35
696,74,3,PCD,Party of Christian Democrats,Partia Chrześcijańskich Demokratów,Partia Chrzescijanskich Demokratow,,http://pl.wikipedia.org/wiki/Partia_Chrze%C5%9Bcija%C5%84skich_Demokrat%C3%B3w,,,,92522,,,,,,,,,616,13
701,7,11,LSAP,Luxembourg Socialist Workers' Party,Lëtzebuerger Sozialistesch Aarbechterpartei,Letzebuerger Sozialistesch Aarbechterpartei,,http://en.wikipedia.org/wiki/Luxembourg_Socialist_Workers%27_Party,,,,23320,211,1442320,136,,,902,6966,,442,18
702,9,2,Sp,Centre Party,Senterpartiet,Senterpartiet,,http://en.wikipedia.org/wiki/Centre_Party_%28Norway%29,,New party formed on 19 May 1920. ,,12810,,,42,1304,2904,1504,7596,3505,578,23
706,60,11,ZL-SD,United List -- Social Democrats,Združena lista – Socialni demokrati,Zdruzena lista -- Socialni demokrati,,http://en.wikipedia.org/wiki/Social_Democrats_%28Slovenia%29,,,,97321,266,1705323,,,,,4365,2903,705,13
708,64,14,KPB-PCB,Communist Party,Kommunistische Partij – Parti Communiste,Kommunistische Partij -- Parti Communiste,,http://en.wikipedia.org/wiki/Communist_Party_of_Belgium,,,,,,,86,301,,101,,,56,61
709,15,3,KKSS,Christian Conservative Social Union,Krikščionių konservatorių socialinė sąjunga,Krikscioniu konservatoriu socialine sajunga,,http://en.wikipedia.org/wiki/Christian_Conservative_Social_Union,,Reformed as a new party after a merger on 23 January 2010.,,,,,,,,,2292,2510,440,32
710,10,11,BE,Euro-Left Coalition,Balgarska Evrolevica,Balgarska Evrolevica,Българска евролевица,http://en.wikipedia.org/wiki/Bulgarian_Euro-Left,,,,80320,,,,,,,,,100,38
713,23,40,PRM,Greater Romania Party,Partidul România Mare,Partidul Romania Mare,,http://en.wikipedia.org/wiki/Greater_Romania_Party,,New party formed in May 1991. ,,93712,251,1642700,,,3209,,3304,2703,642,29
720,41,11,DIKKI,Democratic Social Movement,Dimokratiko Koinoniko Kinima,Dimokratiki Kinoniki Kinema,Δημοκρατικό Κοινωνικό Κινημα,http://en.wikipedia.org/wiki/Democratic_Social_Movement,,Party formed in 1995.,,34314,,,,,,409,,409,300,28
721,35,16,Pi,Pirate Party,Piratpartiet,Piratpartiet,,http://en.wikipedia.org/wiki/Pirate_Party,,New party formed on 1 January 2006.,,,287,1752000,,,,,,1611,752,33
723,64,3,CVP|CD&V,Flemish Christian Peoples Party | Christian Democrats & Flemish,Christelijke Volkspartij | Christen-Democratisch en Vlaams,Christelijke Volkspartij | Christen-Democratisch en Vlaams,,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party,,,,21521,12,1056521,,307,406,109,4883,109,56,25
725,63,11,PS,Socialist Party,Partido Socialista,Partido Socialista,,http://en.wikipedia.org/wiki/Socialist_Party_(Portugal),,,,35311,246,1620311,,,3102,1205,7704,1205,620,17
729,63,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,620,990
732,34,14,R|H,New Communist List | Democratic Front,Rakah | Hadash,Rakah | Hadash,,http://en.wikipedia.org/wiki/Hadash,,Party formed on 15 March 1977 as a merger of the party Rakah and non-partisan parliamentary groups.,,72225,,,,,,,,,376,13
733,9,16,P,Pensioners Party,Pensjonistpartiet,Pensjonistpartiet,,http://en.wikipedia.org/wiki/Pensioners_Party_(Norway),,New party formed in 1985.,,,,,,,,,,,578,34
742,8,11,PvdA,Labour Party,Partij van de Arbeid,Partij van de Arbeid,,http://en.wikipedia.org/wiki/Labour_Party_%28Netherlands%29,,"Party formed on 02 September 1946 as a merger of the Social Democratic Workers' Party (SDAP), the Free-thinking Democratic League (VDB) and the Christian Democratic Union (CDU).",Coded as new party because (largest) predecessor party won less than 75% of the combined vote based on 1937 election results.,22320,299,1528320,76,1104,2602,1002,7140,1002,528,31
743,68,6,OF,Civic Forum,Obcanské fórum,Obcanske forum,,http://en.wikipedia.org/wiki/Civic_Forum,,,"composed of: ASD Asociace socialnich demokratu (Association of Social Democrats), ODA Obcanska demokraticka alliance (Civic Democratic Alliance) KAN Klub Neangaych Nestaniku (Policitally Involved Non-Party Members Club) HOS Hnuté Za Obcanskou Svobodu (Mo",82410,,,,,,,,,203,49
744,8,40,LN,Livable Netherlands,Leefbaar Nederland,Leefbaar Nederland,,http://en.wikipedia.org/wiki/Leefbaar_Nederland,,New party formed on 25 March 1999.,,22430,,,,,,,,,528,15
748,64,6,ROSSEM,Radical Reformers Fighting for an Upright Society,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,,http://en.wikipedia.org/wiki/ROSSEM,,New party formed in 1991.,,,,,,,,113,,,56,73
749,21,16,Fobe,People's Movement against the EU,Folkebevægelsen mod EU,Folkebevaegelsen mod EU,,http://en.wikipedia.org/wiki/People%27s_Movement_against_the_EU,,New party formed in 1972.,,,73,1208954,,,,,,217,208,41
750,40,2,SVP-UDC,Swiss People's Party,Schweizerische Volkspartei – Union Démocratique du Centre,Schweizerische Volkspartei -- Union Democratique du Centre,,http://en.wikipedia.org/wiki/Swiss_People%27s_Party,his,,,43810,292,,,,3804,1705,8124,3601,756,19
751,33,19,AG,Australian Greens,Australian Greens,Australian Greens,,http://en.wikipedia.org/wiki/Australian_Greens,,New party formed in 1992.,,,,,,,,,4739,,36,10
752,1,6,SF,Free Forum,Slobodné fórum,Slobodne forum,,http://en.wikipedia.org/wiki/Free_Forum,,,,,,1703524,,,,,,2811,703,60
753,60,12,etc,others,others,others,,,,,,,,,,,,,,,705,995
756,8,19,GL,GreenLeft,GroenLinks,GroenLinks,,http://en.wikipedia.org/wiki/Groen_Links,,"Party formed on 1 March 1989 as a merger of the Communist Party of the Netherlands (CPN), the Pacifist Socialist Party (PSP), the Political Party of Radicals (PPR), and the Evangelical People's Party.",,22110,297,1528110,,,2601,1005,7100,1005,528,10
757,27,16,ERC,Republican Left of Catalonia,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,,http://en.wikipedia.org/wiki/Republican_Left_of_Catalonia,,,,33905,270,1724905,,1406,,511,,511,724,48
759,55,6,DPS,Democratic Party Saimnieks,"Demokrātiskā partija ""Saimnieks""","Demokratiska partija ""Saimnieks""",,http://lv.wikipedia.org/wiki/Demokr%C4%81tisk%C4%81_partija_%22Saimnieks%22,,,,87411,,,,,,,,,428,38
760,26,6,MRE,European Republicans Movement,Movimento Repubblicani Europei,Movimento Repubblicani Europei,,http://en.wikipedia.org/wiki/European_Republican_Movement,,,,,,,,,,,,832,380,143
761,23,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,642,990
765,34,6,MiHal,Liberal Party,Miflaga Haliberalit,Miflaga Haliberalit,,http://en.wikipedia.org/wiki/Liberal_Party_%28Israel%29,,,Separate observation because of 75% rule for mergers preceding and succeeding the party.,72411,,,153,,,,,,376,52
767,34,11,Rafi,Israeli Workers List,Reshimat Poalei Yisrael,Reshimat Poalei Yisrael,רשימת פועלי ישראל‎,http://en.wikipedia.org/wiki/Rafi_%28party%29,,,,72322,,,148,,,,,,376,55
768,51,26,GTE,For Europe,Gia tin Evropi,For Europe,Για την Ευρώπη,http://en.wikipedia.org/wiki/For_Europe_%28Cyprus%29,,,,,,,,,,,,,196,19
769,59,14,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,Kommunistische Partei Oesterreichs,,http://en.wikipedia.org/wiki/Kommunistische_Partei_%C3%96sterreichs,,,,42220,3,1040220,,201,,1305,,,40,17
771,27,16,CEP,For the Europe of the Peoples,Coalición por la Europa de los Pueblos,Coalicion por la Europa de los Pueblos,,https://en.wikipedia.org/wiki/Coalition_for_the_Europe_of_the_Peoples,,,,,,,,,,,,521,724,50
772,54,19,B90/Gru,Alliance 90 / Greens,Bündnis 90 / Die Grünen,Buendnis 90 / Die Gruenen,,http://en.wikipedia.org/wiki/Alliance_%2790/The_Greens,phb,"New party formed on 12/13 January 1980 at a party congress in Karlsruhe (Stöss 1986, 1581).
Merged with Alliance 90 / Greens -- Citizens' Movement (B90/Gr) from East Germany on 14 May 1993.",,41113,115,1276113,,802,1502,305,6015,304,276,39
773,44,26,Con,Conservatives,Conservatives,Conservatives,,http://en.wikipedia.org/wiki/Conservative_Party_%28UK%29,,Conservative candidates in 1918 election without government endorsement by the Coalition Coupon.,,51620,418,1826620,,1606,603,1101,5103,1101,826,18
774,11,3,CD/FNZ,Christian Democrat Party / Future New Zealand,Christian Democrat Party / Future New Zealand,Christian Democrat Party / Future New Zealand,,http://en.wikipedia.org/wiki/Christian_Democrat_Party_(New_Zealand),,,,,,,,,,,,,554,11
780,9,26,Kp,Coastal Party,Kystpartiet,Kystpartiet,,http://en.wikipedia.org/wiki/Coastal_Party,,New party formed on 1 February 1999.,,,,,,,,,,,578,19
784,10,26,ODS,United Democratic Forces,Obedineni Demokratichni Sili,Obedineni Demokratichni Sili,Обединени Демократични Сили,https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria),,,"„The coalition United Democratic Forces (UDF) (Obedineni Demokratichni Sili, ODS) was founded in June 1996 to nominate a candidate for Bulgaria's presidential elections. In the period between August 1996 and February 1997, members of the coalition included the Union of Democratic Forces (UDF), the People's Union, and MRF” (Bugajski 2002, 794–795).
",80411,,,,,706,,972,2002,100,50
786,35,12,none,no party affiliation,partilös,partilos,,,,,,,,,,,,,,,752,990
788,34,16,Shas,Sephardi Guardians,Shomrei Sfarad,Shomrei Sfarad,ש״ס‎,http://en.wikipedia.org/wiki/Shas,,New party formed in 1984.,,72533,,,,,,,6555,,376,38
789,68,11,CSSD,Czech Social Democratic Party,Česká strana sociálně demokratická,Ceska strana socialne demokraticka,,http://en.wikipedia.org/wiki/Cesk%C3%A1_strana_soci%C3%A1lne_demokratick%C3%A1,,New party formed on 7 July 1878.,,82320,55,1203320,,,1002,,1328,2101,203,20
791,54,14,PDS|Li,PDS | The Left,PDS | Die Linke,PDS | Die Linke,,http://en.wikipedia.org/wiki/Partei_des_Demokratischen_Sozialismus,,,,41221,,,,,1501,307,6051,306,276,42
792,23,19,PER,Romanian Ecologist Party,Partidul Ecologist Român,Partidul Ecologist Roman,,http://en.wikipedia.org/wiki/Ecologist_Party_of_Romania,,,,93112,,,,,,,,,642,20
793,9,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,578,990
794,29,26,PCP,Progressive Conservative Party of Canada,Progressive Conservative Party of Canada,Progressive Conservative Party of Canada,,http://en.wikipedia.org/wiki/Progressive_Conservative_Party_of_Canada,no-2005,,Party changed its name several times (Nohlen 2005: 130).,62620,,,,403,804,,5313,,124,24
795,68,40,DSSS,Workers' Party of Social Justice,Dělnická strana sociální spravedlnosti,Delnicka strana socialni spravedlnosti,,https://en.wikipedia.org/wiki/Workers%27_Party_of_Social_Justice,,New party formed in 2003.,,,,,,,,,,,203,66
796,54,14,WASG,Labour and Social Justice -- The Electoral Alternative,Arbeit & soziale Gerechtigkeit – Die Wahlalternative,Arbeit & soziale Gerechtigkeit -- Die Wahlalternative,,http://en.wikipedia.org/wiki/Labour_and_Social_Justice_%E2%80%93_The_Electoral_Alternative,ddp,"Labour and Social Justice – The Electoral Alternative (WASG) was formed on 22 January 2005 by former Social Democrats (SPD) and union members.
WASG candidates won seats on PDS lists in the 2005 election and formed a joint parliamentary group.",Inclusion rule: winning 2 seats in an election as a member of an electoral alliance,,,,,,,,,,,
797,21,19,Gron,Greens,De Gronne,De Gronne,,http://en.wikipedia.org/wiki/De_Gr%C3%B8nne,,,,,,,,,1101,207,,,208,10
